PORTFOLIO,idCHAR,nameCHAR,descriptionCHAR,currencyCHAR,aa_target_idCHAR,aa_target_valuesCHAR,hist_report_datesCHAR,hist_base_valuesCHAR,hist_var_absCHAR,hist_cashflowCHAR,current_cashflowNMBR,srri_targetNMBR,equity_target_region_idCHAR,equity_target_region_valuesCHAR,min_req_cashNMBR,dtlNMBR
Item,EVA,EVA,Portfolio,EUR,Equity|Fixed Income|Real Estate|Alternative|Commodity|Cash,0.75|0.0|0.00|0.00|0.05|0.20,30-Jun-2019|31-Jul-2019|31-Aug-2019|30-Sep-2019|31-Oct-2019|30-Nov-2019|31-Dec-2019|31-Jan-2020,27000|26053|26333|26610.9162|26768|27163|27644.0765|27605,1200|1217|1295|1374.8012|1440|1531|1625.335|1664,0|0|0|0|0|0|0|0,0.0000,5,Europe|NorthAmerica|Pacific|EmergingMarkets,0.15|0.5|0.10|0.25,5000.0000,0.0000
Item,PRIVATE,PRIVATE,Stefan and Katrin,EUR,Equity|Fixed Income|Real Estate|Alternative|Commodity|Cash,0.45|0.25|0.09|0.02|0.09|0.1,31-May-2019|30-Jun-2019|31-Jul-2019|31-Aug-2019|30-Sep-2019|31-Oct-2019|30-Nov-2019|31-Dec-2019|31-Jan-2020,410000|437000|453606|461242|464919.7773|475774|487529|486150.8574|493940,21365|22738|23626|23046|24097.4394|24523|24520|25093.9145|25963,8035|7880|9293|7880|7880|7880|7880|7880|7880,7880.0000,4,Europe|NorthAmerica|Pacific|EmergingMarkets,0.28|0.30|0.12|0.3,40000.0000,-9878.3896

