DCP,nameCHAR,idCHAR,typeCHAR,descriptionCHAR,currencyCHAR,discount_curveCHAR,coupon_rateNMBR,coupon_generation_methodCHAR,termNMBR,term_unitCHAR,maturity_dateDATE,compounding_typeCHAR,savings_rateNMBR,savings_startdateDATE,savings_enddateDATE,redemption_valuesCHAR,redemption_datesCHAR,notice_periodNMBR,notice_period_unitCHAR,savings_change_valuesCHAR,savings_change_datesCHAR,asset_classCHAR,rating_valuesCHAR,country_idCHAR,country_valuesCHAR,esg_scoreNMBR,liquidity_classCHAR
Item,ALLIANZ_PEN,ALLIANZ_PEN,DCP,,EUR,IR_EUR,0.000000,forward,1,months,01-Jun-2050,simple,0.0000,01-Apr-2019,01-May-2050,1328.65|2603.40|25343.15,31-May-2019|31-May-2020|31-May-2030,1.0000,years,192,01-Apr-2019,Fixed Income,1|0|0,DE,1.0,7.3500,low
Item,PensionA,PensionA,DCP,,EUR,IR_EUR,0.000000,forward,1,months,01-Jun-2050,simple,0.0000,01-Apr-2019,01-May-2050,1328.65|2603.40|25343.15,31-May-2019|31-May-2020|31-May-2030,1.0000,years,192,01-Apr-2019,Fixed Income,1|0|0,DE,1.0,7.3500,low
Item,PensionB,PensionB,DCP,,EUR,IR_EUR,0.006442,forward,1,months,01-Jan-2048,simple,0.0000,01-Apr-2012,01-Dec-2047,15314|18362|25343.14,31-Dec-2018|31-Dec-2019|31-May-2030,1.0000,years,224|232|238|242|248|254|0|254,01-Apr-2012|01-Jan-2013|01-Jan-2014|01-Jan-2015|01-Jan-2016|01-Jan-2017|01-Aug-2017|01-Dec-2018,Fixed Income,1|0|0,DE,1.0,7.3500,low
Item,PKDW,PKDW,DCP,,EUR,IR_EUR,0.006442,forward,1,months,01-Jan-2048,simple,0.0000,01-Apr-2012,01-Dec-2047,15314|18362|25343.14,31-Dec-2018|31-Dec-2019|31-May-2030,1.0000,years,224|232|238|242|248|254|0|254,01-Apr-2012|01-Jan-2013|01-Jan-2014|01-Jan-2015|01-Jan-2016|01-Jan-2017|01-Aug-2017|01-Dec-2018,Fixed Income,1|0|0,DE,1.0,7.3500,low

